index,name,category,category_group,address,city,neighborhood,latitude,longitude,has_coordinates,plus_code,phone,has_phone,website,has_website,needs_website,rating,review_count,engagement_level,num_photos,has_photos,num_review_photos,total_images,num_reviews_with_text,reviews_with_photos,price_level,has_opening_hours,days_with_hours,has_accessibility,accessibility,has_amenities,amenities,has_payments,payments,has_parking,parking,has_service_options,service_options,has_highlights,highlights,data_completeness,image_score,review_score,rating_score,overall_quality,is_good_candidate,is_premium_candidate,maps_url,place_id,scraped_at
0,Villa Morra Park,Restaurante,Food & Beverage,"Av. Mariscal López, Asunción 001411",Villa Morra,Villa Morra,-25.292925,-57.5858491,True,PC49+JM Asunción,,False,,False,True,4.5,1833,High,4,True,0,4,1,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,75,2,1,3,6.25,True,False,,,2026-01-30T21:05:01.523686
1,D´Alepo Cocina,Restaurante,Food & Beverage,"Olegario Víctor Andrade, Senador Huey Pierce Long 1255, Asunción 001001",Villa Morra,Villa Morra,-25.292925,-57.5858491,True,PC5C+37 Asunción,"
0981 376230",True,,False,True,4.6,228,High,4,True,0,4,3,0,0,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas,True,Sanitario; Tiene bar; Wi-Fi; Tiene Wi-Fi gratis,True,Cheques; Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento en el lugar; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:05:25.190359
2,Treffen Bistró Fusión,Restaurante,Food & Beverage,"&, Asunción 001411",Villa Morra,Villa Morra,-25.288145,-57.5974784,True,PC66+PR Asunción,"
0983 100971",True,,False,True,4.2,210,High,4,True,0,4,2,0,0,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento en el lugar; Estacionamiento gratuito,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:06:13.437743
3,Bucca Villa Morra,Restaurante paraguayo,Food & Beverage,"O'Higgins esq, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7G+5J Asunción,"
0981 201007",True,,False,True,4.4,350,High,4,True,0,4,2,0,0,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:06:38.061151
4,La Tarantella Rooftop - Villamorra,Pizzería,Other,"Guido Spano, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC4C+JH Asunción,,False,,False,True,4.1,211,High,2,True,0,2,2,0,0,True,7,True,Espacio accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito,True,dine_in; takeout; delivery; curbside_pickup,False,,75,1,1,2,4.92,True,False,,,2026-01-30T21:06:58.949185
5,El Café de Acá,Cafetería,Food & Beverage,"Teniente Héctor Vera 1390, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7F+3J Asunción,"
0973 153040",True,,False,True,4.6,6514,High,4,True,0,4,3,0,2,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle; Estacionamiento pagado en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:07:21.926793
6,Fortín Mariscal Bar,Bar restaurante,Food & Beverage,"Senador Huey Pierce Long, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC5C+2C Asunción,"
0992 489450",True,,False,True,4.8,55,Medium,4,True,0,4,3,0,1,True,7,False,,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,False,,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:08:14.399714
7,PAPALALO VILLA MORRA,Restaurante,Food & Beverage,"PC49+JPQ, Malutin, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,"
0994 259990",True,,False,True,5.0,2,Very Low,1,True,0,1,1,0,0,True,7,False,,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,False,,True,dine_in; takeout; delivery; curbside_pickup,False,,90,1,1,3,5.7,False,False,,,2026-01-30T21:08:35.334971
8,Phở Noodle Bar by Lucky Seoul®,Restaurante vietnamita,Food & Beverage,"O'Higgins, Eusebio Lillo Robles, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC6F+CX Asunción,"
0994 499333",True,,False,True,4.6,142,High,4,True,0,4,2,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:09:01.063515
9,𝙿𝙸𝚉𝚉𝙴𝚁Í𝙰 POPULAR – ʀɪɴᴄᴏ́ɴ ɴᴜᴇsᴛʀᴏ,Pizzería,Other,"Dr. Francisco Morra esq, Asunción 1310",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC4C+VR Asunción,,False,,False,True,4.4,645,High,4,True,0,4,0,0,0,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,55,2,0,2,4.32,False,False,,,2026-01-30T21:09:43.335791
