,name,category,city,rating,photo_count,phone,overall_quality,prospect_score
1,PAM Paraguay Alta Moda,Tienda de ropa,Villa Morra,5.0,12,"
0981 108001",10.0,25.0
2,APIA Villa Morra,Tienda de ropa de vestir,Villa Morra,5.0,14,"
0971 777678",10.0,25.0
3,Villamorra Shopping,Centro comercial,Villa Morra,5.0,15,"
(021) 603 050",10.0,25.0
4,Anastasia Paraguay Villa Morra,Tienda de ropa de mujer,Villa Morra,5.0,10,"
0986 835871",10.0,25.0
5,Pitonisa Boutique San Martin 1554,Tienda de ropa de mujer,Carmelitas,5.0,10,"
0971 970900",10.0,25.0
6,Renta tu yate py,Compraventa de yates,Villa Morra,5.0,14,"
0961 311666",10.0,25.0
7,El Oro y el Moro,Joyería,Villa Morra,5.0,11,"
(021) 664 049",10.0,25.0
8,Neusa Joyas,Joyería,Villa Morra,5.0,10,"
0981 464763",10.0,25.0
9,Paseo Lillo,Joyería,Villa Morra,5.0,13,"
0981 452248",10.0,25.0
10,TecnoStore Casa Central,Tienda de móviles,Villa Morra,5.0,11,"
(021) 612 806",10.0,25.0
11,Dusell Py,Tienda de ropa de deportes,Villa Morra,5.0,11,"
0971 656232",10.0,25.0
12,Carpincho Hogar,Tienda de electrodomésticos,Fernando de la Mora,5.0,10,"
0981 900612",10.0,25.0
13,hogartec s.a.c.i.,Tienda de electrodomésticos,Fernando de la Mora,5.0,13,"
(021) 729 8989",10.0,25.0
14,LOLA LASH SAJONIA,Centro de estética,Sajonia,5.0,10,"
0982 063366",10.0,25.0
15,Peluqueria Galan,Centro comercial,Fernando de la Mora,5.0,11,"
(021) 523 407",10.0,25.0
16,Blow Spa,Spa,Villa Morra,5.0,10,"
0982 628399",10.0,25.0
17,Spa Masculino A Cáceres - Masajes y Sauna,Spa de día,Villa Morra,5.0,12,"
0983 481000",10.0,25.0
18,La casa Depelle,Spa,Villa Morra,5.0,14,"
0984 731000",10.0,25.0
19,Belleza Urbana,Spa,Villa Morra,5.0,10,"
0981 990147",10.0,25.0
20,OFRENDA Pastelería,Pastelería,Centro,5.0,11,"
0982 573073",10.0,25.0
21,La pastelera,Pastelería,Centro,5.0,11,"
0981 132800",10.0,25.0
22,Pastelería Pozzi Gourmet,Pastelería,Centro,5.0,11,"
0981 541194",10.0,25.0
23,Dulce Maria Tortas,Pastelería,Centro,5.0,11,"
0981 841590",10.0,25.0
24,La Postrería,Pastelería,Centro,5.0,13,"
0982 225757",10.0,25.0
25,SOHO,Boutique,Villa Morra,5.0,9,"
0982 819228",9.7,24.8
26,Men Paraguay Suc. Villa Morra,Tienda de ropa de hombre,Villa Morra,5.0,9,"
0983 835439",9.7,24.8
27,PITONISA Boutique Villamorra (Malutin 287 casi Andrade),Tienda de ropa de mujer,Villa Morra,5.0,9,"
0981 616106",9.7,24.8
28,La Morena Py Villamorra,Tienda de ropa,Villa Morra,5.0,9,"
0984 985251",9.7,24.8
29,"Joyería Recalde ""FR""",Joyería,Villa Morra,5.0,9,"
0981 891082",9.7,24.8
30,Heaven Joyas & Complementos,Joyería,Villa Morra,5.0,9,"
0982 570003",9.7,24.8
